user_name,broker,series_id,qty_open,position_eur,asset_rollup,underlying_symbol,optie_call_put,strike,expiry,ib_currency,exchange_code,trading_class,multiplier,conid,local_symbol,last_verified_ts
onno,interactive,50,-300.0,204.0,KO,KO,call,78.0,2026-03-20,USD,SMART,KO,100.0,857372063,KO    260320C00078000,2026-03-14 17:59:29
onno,degiro,17,-300.0,96.0,MAGNUM,MICC,call,13.0,2026-03-20,EUR,FTA,MAG,100.0,838603646,MAG C@13 MAR26,2026-03-14 18:13:34
onno,degiro,18,-100.0,19.0,MAGNUM,MICC,call,14.0,2026-03-20,EUR,FTA,MAG,100.0,838603652,MAG C@14 MAR26,2026-03-14 18:13:35
onno,degiro,19,-300.0,198.0,MAGNUM,MICC,call,16.5,2026-03-20,EUR,FTA,MAG,100.0,849578649,MAG C@16.5 MAR26,2026-03-14 18:13:35
onno,lynx,92,-0.2,324.0,MBITCOIN,MBT,put,71500.0,2026-03-20,USD,CME,W3E,0.1,854109702,W3EH6 P71500,2026-03-14 18:15:46
onno,interactive,51,-100.0,126.0,MDT,MDT,call,87.0,2026-03-20,USD,SMART,MDT,100.0,857353156,MDT   260320C00087000,2026-03-14 17:59:31
onno,lynx,93,-500.0,245.0,MT,MT,put,47.0,2026-03-20,EUR,FTA,MT,100.0,845961859,MT P@47 MAR26,2026-03-14 17:59:31
onno,degiro,20,-800.0,520.0,MT,MT,put,48.0,2026-03-20,EUR,FTA,MT,100.0,838689172,MT P@48 MAR26,2026-03-14 17:59:32
onno,interactive,53,-300.0,546.0,NEBIUS,NBIS,put,95.0,2026-03-20,USD,SMART,NBIS,100.0,805448839,NBIS  260320P00095000,2026-03-14 17:59:32
onno,interactive,52,-100.0,235.0,NEBIUS,NBIS,put,105.0,2026-03-20,USD,SMART,NBIS,100.0,805448721,NBIS  260320P00105000,2026-03-14 17:59:32
onno,interactive,54,-100.0,39.0,NIKE,NKE,call,58.0,2026-03-27,USD,SMART,NKE,100.0,852318987,NKE   260327C00058000,2026-03-14 17:59:33
onno,interactive,55,-200.0,370.0,O,O,call,65.0,2026-03-20,USD,SMART,O,100.0,757668225,O     260320C00065000,2026-03-14 17:59:33
onno,lynx,55,-500.0,925.0,O,O,call,65.0,2026-03-20,USD,SMART,O,100.0,757668225,O     260320C00065000,2026-03-14 17:59:33
onno,lynx,94,-100.0,90.0,OKTA,OKTA,call,82.5,2026-03-20,USD,SMART,OKTA,100.0,764250951,OKTA  260320C00082500,2026-03-14 17:59:33
onno,lynx,95,-100.0,1132.0,OKTA,OKTA,put,90.0,2026-03-20,USD,SMART,OKTA,100.0,762306796,OKTA  260320P00090000,2026-03-14 17:59:34
onno,interactive,56,-100.0,241.0,ORACLE,ORCL,put,135.0,2026-04-17,USD,SMART,ORCL,100.0,809572079,ORCL  260417P00135000,2026-03-14 17:59:34
onno,interactive,57,-100.0,520.0,PANW,PANW,call,165.0,2026-03-20,USD,SMART,PANW,100.0,756966178,PANW  260320C00165000,2026-03-14 17:59:35
onno,interactive,58,-200.0,592.0,PL,PL,put,22.0,2026-03-20,USD,SMART,PL,100.0,846573383,PL    260320P00022000,2026-03-14 17:59:35
onno,interactive,59,-100.0,209.0,PL,PL,put,23.5,2026-03-20,USD,SMART,PL,100.0,857346543,PL    260320P00023500,2026-03-14 17:59:35
onno,interactive,60,-300.0,672.0,PLTR,PLTR,put,145.0,2026-03-20,USD,SMART,PLTR,100.0,759159133,PLTR  260320P00145000,2026-03-14 17:59:36
onno,degiro,21,-200.0,100.0,PROSUS,PRX,call,48.0,2026-03-20,EUR,FTA,PRX,100.0,781272480,PRX C@48 MAR26,2026-03-14 17:59:36
onno,lynx,21,-200.0,100.0,PROSUS,PRX,call,48.0,2026-03-20,EUR,FTA,PRX,100.0,781272480,PRX C@48 MAR26,2026-03-14 17:59:36
onno,degiro,22,-100.0,550.0,PROSUS,PRX,put,48.0,2026-03-20,EUR,FTA,PRX,100.0,781272485,PRX P@48 MAR26,2026-03-14 17:59:36
onno,degiro,23,-400.0,348.0,RDSA,SHELL,call,33.0,2026-03-20,EUR,FTA,RD,100.0,840490027,RD C@33 MAR26,2026-03-14 17:59:36
onno,lynx,96,-200.0,346.0,RDSA,SHELL,call,35.0,2026-03-20,EUR,FTA,RD,100.0,826597324,RD C@35 MAR26,2026-03-14 17:59:36
onno,lynx,97,-500.0,290.0,RDSA,SHELL,put,36.0,2026-03-20,EUR,FTA,RD,100.0,772009532,RD P@36 MAR26,2026-03-14 17:59:36
onno,degiro,24,-200.0,138.0,RELX,REN,call,31.0,2026-03-20,EUR,FTA,REN,100.0,840490522,REN C@31 MAR26,2026-03-14 17:59:37
onno,lynx,24,-300.0,207.0,RELX,REN,call,31.0,2026-03-20,EUR,FTA,REN,100.0,840490522,REN C@31 MAR26,2026-03-14 17:59:37
onno,degiro,25,-200.0,842.0,RELX,REN,put,30.0,2026-03-20,EUR,FTA,REN,100.0,770625469,REN P@30 MAR26,2026-03-14 17:59:37
onno,interactive,61,-100.0,302.0,ROBINHOOD,HOOD,call,80.0,2026-03-20,USD,SMART,HOOD,100.0,763686886,HOOD  260320C00080000,2026-03-14 17:59:37
onno,interactive,62,-300.0,1011.0,ROBINHOOD,HOOD,put,76.0,2026-03-20,USD,SMART,HOOD,100.0,857325441,HOOD  260320P00076000,2026-03-14 17:59:38
onno,interactive,63,-100.0,455.0,ROCKETLAB,RKLB,put,70.0,2026-03-20,USD,SMART,RKLB,100.0,837272314,RKLB  260320P00070000,2026-03-14 17:59:38
onno,lynx,98,-100.0,249.0,RTX,RTX,put,185.0,2026-03-20,USD,SMART,RTX,100.0,756996552,RTX   260320P00185000,2026-03-14 17:59:38
onno,lynx,99,-100.0,146.0,SERVICENOW,NOW,put,95.0,2026-03-20,USD,SMART,NOW,100.0,846557729,NOW   260320P00095000,2026-03-14 17:59:39
onno,lynx,100,-200.0,106.0,SLV,SLV,put,73.0,2026-03-16,USD,SMART,SLV,100.0,859571027,SLV   260316P00073000,2026-03-14 17:59:39
